summary,text,segments
"In today 's changing world, the increasingly freest movement of people across the borders has changed demographic dynamic in many countries. Public diplomacy can bring in capital, expertise and foreign skills to bolster the country's skills needs with human capital for increased economic growth. Furthermore, there was therefore a responsibility for the government to prioritise protecting the environment that all locals work in above the invasion by external foreigners and enhance sustainability for future generations. ","In today's globalised world, the increasingly freer movement of people across national boundaries has changed the demographics of many countries. People arrive on the shores of foreign countries in search of better economic opportunities, tourism or even to seek asylum as they face political persecution in their home country. These increased movement of people across national boundaries has added on to the challenges that a government must face and tackle. It is thus pertinent to place the environmental and economic interests, and social welfare of the locals above foreigners as the former are the ones who remain rooted in their country of origin as they weather through the good and bad times. However, the government also has to spare some consideration and sacrifice the interests of locals to some extent to fulfil their moral obligations of providing humanitarian assistance to foreigners fleeing political persecution. 
Economic migration can bring in capital, knowledge and foreign technology to bolster a country's capital stock and human capital for increased economic growth. However, a government is obliged to remain committed in protecting the economic interests of the locals to ensure employment and their continued stake in the economy. Foreigners who are economic migrants seek out better employment and a higher standard of living in countries overseas. While these foreigners, such as Bangladeshi and Chinese workers, help to plug manpower shortages in sectors such as construction in countries with small population sizes such as Singapore, the government needs to ensure that the locals continue to have access to employment. The government, being representative of its own citizens, has the obligation to protect their monetary interests in the economic arena. The government has to ensure that the influx of foreigners is carefully controlled and are only allowed into sectors of the economy that are facing manpower shortages as employment opportunities that are not taken up by locals. An example would be the construction and gardening industries in Singapore, which are mostly shunned by locals. However, in white-collared professions in biomedical fields and healthcare, the influx of foreign talent from countries such as India needs to be managed. This ensures that local graduates will still be able to find employment. 
Furthermore, there is also a need for the government to prioritise protecting the environment that the locals live in above the needs of the foreigners to ensure sustainability for future generations. Foreigners entering a foreign land to travel or to seek out economic opportunities are a transient group that do not have a vested commitment in their country of visit. However, for locals, the country they are in is their home and the resources in the country are finite. To ensure sustainability of the environment's resources to address the future needs and generations of the locals, it is important that a government protects the environment the locals live in. For example, coastal cities and islands in Spain live off visitors into small towns and cities have led to a multitude of social and environmental problems.  The increase in tourists has led to an increase in private hire and rental transport, and illegal parking has become an eyesore, prompting the local administration to ban parking at cathedrals and city squares. Ironically, this has brought a significant degree of disruption for locals, who have to park further away or circle around for extended periods of time to find a parking space. The influx of foreigners has also placed strains on finite natural resources such as water. Thus, there is rising unhappiness amongst the Spanish due to the gradual degradation of the environment they live in, as there is not enough being done by the government to manage their needs by controlling the influx of foreigners.  
","[0.23962070732957458, 0.3654536135315223, 0.39492567913890314]"
" Even though our modern world hasn seen few major skirmishes on the level of any cold wars, what about in our ever-divided environment today. It has also been said that governments have in fact become exceptionally powerful with respect to dealing with our disagreements or skirm ishes, as they often boast the ability to band together to solve their problems and even direct the power commanding many states to a conflict in a country. Conflicts such as inter-racial violence experienced between black and radical Christian supremacist groups has experienced a spike after a lull since the late 2000, while the growing poor divide has led to tensions between the so-called ""1 %"" and the more working-class populations all over the world, erupting into the worldwide ""Occupy "" movement that remains strong today, even after almost exactly a decade. ","Even though the modern era has seen fewer major skirmishes on the level of the world wars, conflicts about in our ever-divisive environment today. As the world becomes more globalised, disagreements have emerged through the fault lines of our society, pitting races against each other, as is the case in Myanmar, with the majority Burmese community turning on the Rohingyas. This has exposed fundamental differences between ideologies and beliefs that threaten to descend into bedlam, such as the left-right slit that has risen to prominence in the United States. Indeed, it can be seen that governments today are mostly helpless in dealing with our fundamental differences, and have no means of addressing society's disagreements and conflicts. Our leaders and bureaucracies are remnants of a past time, and no longer have the ability to adapt to the rapidly-changing environment of today's world. Unless governments can break out of their current, rigid structures and emerge with a new place in the people's psyche, governments will remain helpless in the face of our modern disagreements. It must, first and foremost, be conceded that the government remains one of the most powerful institutions on this planet. The government of a country is essentially the puppet-master behind the workings of the state, as most leaders can bend national activity and opinion to their will. The United States federal government, for instance, has relatively limited powers compared to institutions such as the state assemblies which govern individual states, but it is still able to harness the full might and will of the American people to destructive effect, as demonstrated in its repeated annihilation of its enemies in World Wars I and II. The military-industrial complex has been a key tool in major governments' toolboxes, one which has the power to end military conflicts once and for all. In more recent terms, this has emerged in the United States' manipulation of global events ""ì it was able to stop the Israelis' offensive in the Arab-Israeli War of 1971, and could respond to the Iraqis' invasion of Kuwait with devastating effect. Evidently, governments have an overbearing capacity to harness the resources of a nation towards a common cause, one of which has been the resolution of armed conflict around the world. 
It has also been said that governments have in fact become more powerful with respect to dealing with our disagreements and skirmishes, as countries now have the ability to band together to solve international problems or to direct the power of many states towards a conflict in a country. The United Nations, comprising governments from all over the world, has used peacekeeping forces to maintain order and restore peace in conflict-ridden regions such as Sub-Saharan Africa. The Association of Southeast Asian Nations, on the other hand, a regional intergovernmental body, has helped mediate international disagreements in the South China Sea. By uniting around a common cause, governments have a force multiplier that maximises their power in dealing with today's unique transnational problems. With the full weight of international support, governments have become ever more able in resolving or ameliorating the effects of our modern conflicts. Thus, it seems as though governments have developed new, effective tools to address our current issues. However, such a view is overly optimistic, as governments in fact have no means of addressing current conflicts in an adequate manner. Today's conflicts do not solely exist in the national realm; there are conflicts brewing in our fundamental social fabric as well. 
Conflicts such as inter-racial violence experienced between black and radical white supremacist groups have experienced a resurgence after a lull in the late 20th century, while the rich poor divide has led to tensions between the so-called ""1%""ù and the remaining working-class populations all over the world, erupting into the worldwide ""Occupy""ù movement that remains strong today, even after almost half a decade. These conflicts strike at the very heart of society, and they arise due to a multitude of reasons that governments have no means of tackling in full: changing demographics, as can be seen in the United States, where for the first time in its history there were more ""minority""ù newborns than white ones; changing societal norms, brought about by the use of the internet, which has allowed fringe groups to band together and exert a collective influence on society's direction; and changing economic conditions, with automation and technology robbing many blue-collar workers of their livelihoods and exacerbating the already-intractable problem of inequality. The government has little control over these changes, for they lie outside its conventional interests of national security, economic growth and self-preservation. In effect, governments today lie in a paradigm of their own, increasingly disconnected from the events their constituents experience. Great Britain, for instance, has found itself caught unawares by the Brexit vote, with well-heeled members of the elite (most notably on Downing Street) predicting a solid Remain victory even on the night of the referendum, deluded by the pleasant illusion that the people were not troubled by the events in Europe. Clearly, governments have been unprepared for such ground-breaking developments, causing them to be utterly ill-equipped to deal with the conflicts that matter today. In particular, governments have found themselves flailing at the sight of core social issues, for they are unexpected beasts which cannot be tamed by financial instruments nor the state's military apparatus.
","[0.4069726699369306, 0.23160476524176593, 0.3614225648213034]"
"Despite increasing inter-connections in the shrinking global economy the region today is grappling with conflicts that extend beyond a country's borders, characterised by the unnerving atmosphere of uncertainty or volatility. Small nations often seem to be powerless in the face of conflicts which can be controlled within their territorial borders, and ideological wars that plant seeds to discord within and beyond a country. So while it is probably in their power to settle ideological conflicts within their borders, military power of international and inter governmental efforts has much greater promise and opportunities.","With increasing interconnectivity in a shrinking global village, the world today is fraught with conflicts that extend beyond a country's borders, characterised by an unnerving sense of uncertainty and volatility. With the threat of religious fundamentalism, growing social inequality in the aftermath of rapid globalisation and international disputes abounding across the globe, it appears as though governments are increasingly losing influence and power in managing the conflicts of today. This is perhaps evident in the growing unhappiness of civilians with their incumbent rulers, leading to a spate of protests and even uprisings in extreme cases. However, to say that governments are powerless to deal with the conflicts of today would be to be too nihilistic a view, and suggests that people or other organisations instead should be held accountable to deal with the conflicts of today. Certainly, while conflicts may seem to overheat at times, it is undeniable that governments possess the resources, influence and legitimacy to tackle the problems of today. Hence, although some conflicts may be beyond the reach of governments, most are still within the power of the governments to manage and control. 
Indeed, governments may seem to be powerless in the face of conflicts that cannot be controlled within their own borders, particularly ideological threats that plant seeds of discord within and beyond the country. The rise of religious extremism and the encroaching threat of terrorism in countries all over the world are testament to the transnational nature of conflicts today. Such threats can hardly be confined to a particular group or nation, and the very fact that it is faceless makes it almost impossible for governments to tackle the problem. The rise of ISIS, for example, was completely unanticipated, where the Islamic militia swept through Syria and captured great swathes of land within hours. In addition, the media and propaganda branch of ISIS simultaneously began a hashtag movement #AlleyesonISIS, featuring atrocities committed by the jihadist fighters so as to instil fear and a sense of inevitability among the people. Certainly, ISIS's effective use of social media platform to recruit potential jihadists from all around the world and to spread the utopian vision of an Islamic caliphate has rendered governments powerless in controlling the spread of terrorism. Despite increased security measures being implemented, the unpredictable nature of terrorist and lone wolf attacks often make such efforts ineffective or even futile. In the face of religious zeal and fervour, governments are unable to wield decisive and conclusive power for fear the proactive measures may add fuel to the fire, leading to more atrocities and resulting in a stronger backlash. Thus, in the face of borderless and ideological conflicts, governments may seem to be powerless in controlling the spread of extremism and in effectively protecting their citizens.
However, while governments are limited in their power to curb ideological conflicts within their borders, the power of international and intergovernmental efforts holds much more promise and potential. The formation of international peacekeeping organisations such as the United Nations (UN) offers the possibility of tackling the threat of terrorism on a war footing, with the expertise and cooperation of nations all around the world. The UN Security Council recently announced a unanimous agreement by all its nations to eliminate terrorism, giving hope to many who have suffered the atrocities of extremist groups. The US, Russia and several countries have joined arms in conducting air raids and drone strikes in the Middle East, destroying vast swathes if terrorist territory as well as their oil source from which they fund their attacks and the organisation itself. The interconnected nature of surveillance technologies across the globe has allowed governments to track movements of potential terrorists, and even predict their attacks using highly sophisticated software so as to prevent them from happening. The sharing of resources and information between governments has granted them power to eradicate threats and nip them in the bud before any harm can be inflicted. The communication and ties between countries help to build rapport and support, providing aid and reinforcements to weaker countries when required. Thus, it is evident that despite the fact that individual governments may be powerless to control such a far-reaching and uncontrollable conflict, the cooperation and unity of governments across the world accrues great power and influence in tackling such problems. 
","[0.25983746792130025, 0.3772455089820359, 0.3629170230966638]"
"But there was no credit for the argument the governments bear moral responsibilities to provide voluntary assistance to foreigners fleeing political instability within their home countries. This being stated the social welfare of locals needs to be addressed and placed over the needs for citizens who were expatriates or simply tourists. By conclusion, a government must continuously place the needs of the citizens above the needs of foreigners. ","However, there is also credit to the argument that governments have moral responsibilities to provide humanitarian assistance to foreigners fleeing political persecution in their home countries. As such, the needs of the foreigners are sometimes being placed above the needs of the locals. For example, Syrian refugees fleeing the ongoing political crisis in Syria are seeking refuge in the European continent. There is a moral obligation for European governments to provide sufficient humanitarian assistance to these refugees seeking asylum as deporting them could potentially result in deaths. By closing off their borders to these refugees, the refugees are forced to find pathways to other countries, making the journey in overcrowded flimsy boats that often capsize in choppy seas. As of date, more than 3700 migrants have drowned in capsizing incidents. Some may argue that by accepting these refugees, a considerable amount of strain is placed upon the social welfare system of host countries, who now have to provide food, accommodation and other needs of these foreigners. This may be unfair for locals, who are paying taxes to support such systems. The increasing discontent towards the migrants has manifested in European-wide movements campaigning against accepting the refugees. To mitigate social unrest, governments need to work together to ensure proportional distribution of the incoming refugees. 
That being said, the social welfare of locals needs to be addressed and prioritised over the needs of foreigners who are expatriates or economic migrants. As countries have finite resources, a government has to prioritise the needs of locals over that of foreigners. For example, in Singapore, locals receive extensive healthcare subsidies in the form of Medisave and other related schemes that provide subsidised hospital stays. This ensures that in view of rising demand for our first-class healthcare services from around the world, healthcare remains affordable and accessible for locals in Singapore. Furthermore, priority is given to local born children to enrol in heavily subsidized government schools to ensure that local children are able to attend school at affordable rates, despite the increase in expatriate families. This is due to limited spaces in our local schools, and to ensure that locals are still able to have a space, priority is given to locals through staggered enrolment schemes for primary one enrolment. If these welfare measures are not put in place by the government, such services may no longer be affordable or accessible to locals as the latter may not be able to pay the premium prices that foreigners are willing to pay for the high quality of healthcare and education that the country is able to offer. Hence, to prevent locals from being priced out of social welfare services by wealthier incoming foreigners, the government needs to protect the welfare needs of the locals and prioritise such interests over that of foreigners. 
In conclusion, the government should continuously place the needs of locals above the needs of foreigners. This is because locals remain invested and committed to the country, and will weather through the ups and downs a country faces. The environment they live in must be sustainable and continue to be so for future generations. The economic needs and social welfare interests of locals have to be addressed adequately to ensure that locals are not disadvantaged by the influx of foreigners. At the same time, governments may sometimes have to sacrifice the welfare of locals to fulfil a moral obligation to provide humanitarian assistance to refugees who would otherwise face political persecutions back home. As such, governments need to carefully weigh their policy decisions, and continue to prioritise the needs of locals as much as they can. Locals have a part to play by being open to integrating foreigners who are staying on for the longer term into their communities and be more open-minded in accepting differences. International cooperation is also important in ensuring that the responsibility for global crises such as the Middle East refugee crisis do not fall upon one or a small group of countries who may be overwhelmed by the influx. Larger and richer countries would then need to step up to fulfill their global and moral responsbilities to shoulder the burden. 
","[0.3245654162854529, 0.3586459286367795, 0.3167886550777676]"
"We often define good leadership as one that can see after the welfare of its people by addressing their needs and frame domestic policy by terms of a political, social or economic agenda. A democratically elected executive bears the moral obligation to account for the needs of its own people above others as this enhances their welfare and contentions as citizens of the nation, thereby allowing for continual development when its electorate remains supportive of its government and policies. The influx of refugees into numerous rural areas also suffered considerable adverse impacts on the locals, such as increased tax burdens to accommodate the larger population.","People often define good leadership as one that can look after the welfare of its people by meeting their needs and maintaining domestic security in terms of the political, social and economic aspects. It is argued that a strong and popular government always places its domestic needs and welfare above all else, thereby negating the need to take into account the impact on foreigners on a global scale. To a large extent, I feel that a democratic government should consider the needs of its electorate before others since the government has the moral obligation to answer to its population after being elected. By responding to the problems of the masses and shaping policies that are solely aimed at improving the country's welfare, it ensures long term progress since the people, who make up the country, are contented. Therefore, if a government is unable to satisfy its population, and instead, sacrifices the welfare of its people in exchange for foreign or global approval, it may be met with domestic resistance and lose its political mandate. However, it is fallacious to have the view that the needs of locals should always be the top priority of the government as it may compromise on the greater good, culminating in adverse side effects for countries. Furthermore, in countries which have a diverse population and a reliance on foreign talent to contribute to the nation, the government should not compromise the needs of foreigners just to appease the locals as this would lead to a stratified society and even jeopardise the development of the nation. 
A democratically elected government has the moral responsibility to account for the needs of its own people above others as this ensures their welfare and contentment as citizens of the nation, thereby allowing for continual progress when the electorate is supportive of its government's policies. As political leaders are voted into power because of the hope and trust invested in them by the population, it is important that the government fulfils its political promises and considers the needs and development of the people to ensure that there is sustained progress and prosperity within a nation. Governments should be discerning in placing the welfare of its people as top priority, as the inability to satisfy their demands will engender discontent and political opposition. A prime example of how a government have placed the needs of locals before foreigners would be the 2015 European Union (EU) migrant crisis. In the light of the instability and violence within the state of Syria, where the bellicose terrorist group, the Islamic State of Iran and Syria (ISIS) has been battling with the belligerent leader Bashar al-Assad for control over the land, the constant bloodshed and aggression have gravely compromised the welfare of its civilians. This has driven numerous desperate Syrian families to seek refuge and political asylum in its neighbouring EU countries to escape the civil war within their nation. 
The influx of foreigners in numerous EU countries has had considerable social impacts on the locals, such as increased financial burdens to accommodate the larger population. As a result, there was a public outcry and pressure for politicians to limit the influx of migrants and reject the refugees at the countries' borders, Hence, countries such as Hungary shifted their stances to reduce and even stop the inflow of migrants to satisfy its domestic population, effectively lightening their economic burden and containing the negative social impacts brought about by overcrowding. This shows the importance of taking into account the needs of the country and its people, as government policies invariably affect the lives of the people, thus the government should prioritise the needs of the locals in order to ensure domestic stability and continual progress to be made for the country. If helping the refugees comes at the expense of the people's contentment and compromises their standard of living, it would only be natural for the locals to protest against the government's actions, Thus, the government should place the needs of locals before foreigners.
","[0.3778580024067389, 0.3422382671480144, 0.2799037304452467]"
"But the position that a government should always put its own needs above others is not justified if its behaviour draws serious consequences on the international scale. On the other hand, if a state merely seeks the welfare of other nations at the expense regarding its own domestic needs, it can translate to the loss thereof their support and their legitimacy within the nation. On the contrary, when a government prioritises the needs of its people before foreigners, such policies would threaten political stability and diplomatic relationships with other countries, thereby causing economic harm for its people and reducing growth prospects. ","However, the claim that the government should always value its domestic needs above others is not justified if its action has serious repercussions on the global scale. If a country ignores the impact of their policies on third parties such as neighbouring countries, it could infringe on the sovereignty and national interests of other nations and compromise the greater good. A notable example would be the burning of lands by Indonesian farmers, which had a detrimental environmental impact on its Southeast Asian neighbours. Due to the economic benefits reaped by local farmers through deforestation and the burning of fields, the Indonesian government has been largely indifferent to the repercussions on its neighbouring countries such as Malaysia and Singapore.  This annual affair has caused large amounts of smoke and haze to be carried across its borders, causing spill-over effects that are deleterious to other countries. The hazardous level of smoke particles have led to a deterioration of health amongst citizens of Singapore and Malaysia, and even a significant drop in the tourism sector. 
On the other hand, if a nation merely considers the welfare of other nations at the expense of their own domestic needs, it may lead to the loss of political support and their legitimacy over the nation. A prime example is Taiwan, in which the previous leader Ma Ying-Jeou was unable to meet the demands of his people and be in line with their vision to fight for an independent Taiwan apart from China. His inability to connect with the masses as seen from his overtly friendly relationships with mainland China, incited domestic outrage over jeopardising Taiwan's welfare in exchange for personal economic interests. As a result, popular support for him plummeted, leading to the loss of his party in the 2016 elections, allowing for the landslide victory of Tsai Ing-wen who was able to ally with the masses and answer their fears and concerns. This shows that a politician has to share similar political aspirations with his people in order to trust and support, or else he would risk his legitimacy to rule, culminating in growing opposition, eventually ending his political stint. Thus, it is necessary for governments to place the needs of its people before of foreigners. 
On the contrary, if a government prioritises the needs of its locals before foreigners, its policies may threaten political ties and diplomatic relationships with other countries, eventually causing more harm to its people and worsening their prospects. This can be seen in the nuclear power accumulation by lran, which successfully tested its nuclear programme to safeguard its sovereignty and political interests. Such a move is an act of deterrence in a world with volatile and unpredictable geopolitics, especially seen in the annexation of Crimea by belligerent Russia in 2014. This raised global alarm and invited intervention in countries such as the US and UK, viewing Iran's action as a hostile one which could jeopardise global peace and security. As a result, it strained relationships between Iran and its trading partners, such that they imposed sanctions and embargoes to contain Iran's expanding nuclear capabilities. This shows that governments which prioritise the needs of their people and country are myopic if they fail to take into account the global repercussions. If their actions compromise the welfare of others, it would lead to the breakdown of diplomatic ties and could worsen a country's welfare. Therefore, in situations where the actions of a government could threaten the sovereignty of others, prioritising its people first may not be justified and may even lead to counteractive outcomes. 
","[0.29859989229940764, 0.31798599892299406, 0.3834141087775983]"
"In the conflicts of much more often, particularly in the realm of violent conflict, and the government has found itself to be even more inept at working alongside its shapeshifted enemy. In fact, it could be said that it is precisely the great powers these governments wield which make them powerless to asymmetric forces: by being too heavy-handed in their handling of such conflicts, governments exacerbate the problem by inspiring Islamist rebels and inciting further tensions in Syria. In conclusion, governments are shown to be helpless at dealing with our global conflicts, and for good reasons; they are sorely unprepared to deal with the force that our world requires.","Furthermore, the conflicts of today are often asymmetrical, particularly in the realm of violent conflict, and the government has found itself to be even more inept at dealing with the shapeshifting enemy. The perpetrators of deadly conflict and the people who stoke racial or socioeconomic tensions behind a wall of anonymity are unseen culprits, and dealing with these armed conflicts or disputes in the socioeconomic realm requires governments to deal with the root cause behind them. Yet it appears that governments do not know how; Boko Haram has been going on bloody rampages in Nigeria, yet the Nigerian government helmed by a former military leader is still attempting to deal with the social and political fallout from the abduction of the Chibok girls almost three years ago. ISIS thrived on a groundswell of local support, and terrorised the West2 until it decided to establish itself as a state with territories that could be conquered with conventional military forces. This provides for a damning assessment of government power, for even the most powerful governments in the world, united in spirit, have been unable to defeat a tiny, but shrewd, enemy. 
In fact, it can be said that it is precisely the overwhelming might these governments wield that make them powerless to asymmetric conflict ""ì by being too heavy-handed in their resolution of such conflicts, governments worsen the problem by inspiring more rebels and inciting further tensions in society. Governments do not understand the conflicts they are dealing with, which renders them helpless even with the might of a state's resources behind them. Ultimately, governments are often powerless to deal with the conflicts of today because the governments themselves are the root cause of these conflicts. For instance, dissent in Hong Kong and conflict between Hong Kongers and mainlanders was born out of the ineptitude of the Hong Kong Chief Executive, and there is little the government can do to quell the tensions but to hope for the best. In other words, the xenophobia and hatred that created current social conflicts were purposefully cultivated for the governments' own political means, just that these social developments got out of hand. In Myanmar, for instance, much of the violence on the Rohingyas is sanctioned by the majority Buddhist government, inspiring monks such as the ""òBurmese bin Laden' to turn on their own fellow countrymen. Now that the conflict between the stateless Rohingyas and the Burmese has gone past the tipping point, there is little that the junta could or the government can do to resolve these tensions in society. The governments that perpetrated these conflicts cannot stop these negative social developments without appearing hypocritical, and even if they do attempt to quell these enmities in a bid to deal with the conflict they lose their trustworthiness in the eyes of the people, and in effect lose their ability to act even if they have the humane will to do so. The government is thus stuck in a Catch-22 situation, rendering national leaders helpless and leaving them to the mercy of the public. Addressing the social developments or tensions behind national or cross-border conflict is essential in dealing with the conflicts today, but when the government has been a direct cause of the conflict, inadvertently or purposefully, there is nothing it can do to relieve the conflict and stop the madness. 
In conclusion, governments are increasingly appearing to be helpless at dealing with our current conflicts, and with good reason ""ì they are sorely ill-equipped to deal with the conflicts that our world faces today. Indeed there is little any one body or organisation can do to deal with our conflicts ""ì even the national peace quartet from Tunisia that won the Nobel Peace Prize could only maintain the harmony for so long ""ì and the best we can do at this point in time is to prepare for the worst and hope for the best. Our world today is a messy one, giving rise to the most chaotic conflicts in human memory; our governments need to begin the long, arduous, and painful transition if they wish to have some semblance of control and a modicum of power in addressing the conflicts of our modern world.
","[0.27650531286894925, 0.5338842975206611, 0.18961038961038962]"
"In America it is clear few governments have the resources or the power that deal with conflicts arising from social inequalities. Furthermore governments enjoy considerable legislative potential to influence or shape the psyche of their citizens thus enabling them to manage the conflicts of interests effectively. Certainly, government does also consider the strength that the government when assessing its power to deal with the unprecedented challenges of today. ","In addition, it is undeniable that governments have the resources and executive power to deal with conflicts arising from social inequalities. Especially in developed countries, where globalisation has brought about seemingly stratospheric economic progress, the increasing unhappiness of the people due to unequal social mobility and economic opportunities has become a pressing concern for governments. Coupled with the threat of global ""òSilver Tsunami' due to increasing ageing population, governments are often hard-pressed for solutions to manage the conflicting needs of the people. Yet they are certainly far from powerless in coping with such conflicts, with the ability to allocate resources effectively, and providing opportunities for the vulnerable in society. This is evident in the welfare and subsidy schemes implemented by governments so as to give the poor in society a leg-up and allow them to attain a decent standard of living. For example, the Singapore government introduced heavily subsidised pre-schools run by the Ministry of Education so as to allow the lower-income families to send their children to pre-school without having to pay exorbitant fees. The Obamacare scheme in the US was also praised for its efforts to provide access to affordable healthcare to the poor and vulnerable in society. When the housing market gets overheated, the Singapore government readily steps in to cool housing prices to ensure that housing remains affordable. Such efforts on the part of governments have proven effective in alleviating the socioeconomic tensions within society, preventing unhappiness from brewing and fomenting discord among the people. By constantly keeping in touch with the citizens, and judiciously distributing resources according to the needs of the people, it is unlikely that governments are powerless to deal with the conflicts arising from inequality today.
Furthermore governments have the legislative power to influence and shape the psyche of their people, hence allowing them to manage the conflicts of today effectively. Besides implementing laws to curb incendiary behaviours, governments also have the soft power to nudge people into having greater civic-consciousness. The conflicts of today are the products of technological boom as well as rise in industrialism, ranging from online anti-social behaviours to environmental destruction. Across the range of conflicts, governments have shown the power to enforce social norms and protect social harmony through the implementation of laws. For example, the Singapore government's move to criminalise cyber-bullying and hacking seeks to abolish online anti-social behaviours and to promote a safe and secure environment for web users. Conflicts arising from cyber-bullying are thus clamped down on harshly, eradicating such provocative and divisive events from repeating. Such laws aim to emphasise the government's stand on certain issues that may destabilise or threaten the harmony of society, hence serving as a warning to potential offenders. The imposition of fines or even jail sentences on individuals or corporations who do not comply with acceptable standards, such as mistreating their workers or compromising the quality of their products which result in great unrest and unhappiness among the populace, are also measures to penalise and deter. Thus, the conflicts of today, while numerous, are still within the power of the governments, who have the legitimacy and right to enforce laws and ensure moral standards are upheld. 
Certainly, one must also consider the strength of the government when assessing its power to deal with the conflicts of today. To be able to deal with greater conflicts and concerns of the people, the government itself must be competent and efficient. The amount of power the government possesses largely depends on the effectiveness of the ruler as well as the institutions and other agencies put in place to ensure transparency, efficiency and incorruptibility. Thus it would be too sweeping a generalisation to comment on whether governments are powerless or not in dealing with the conflicts of today, as governance often encompasses the unique cultural and political context of the country, as well as the competency and the nature of its leader. Nonetheless, given the pressure of the international community, most governments have the power to deal with the conflicts of today. In conclusion, governments certainly wield power and control over most of the conflicts in today's world. Though the nature of some of these conflicts may limit the amount of power governments have at times, the promise of international cooperation and collaboration effectively grant hope to governments all over the world in at least managing the effects of such conflicts.
","[0.39616746511143514, 0.34117892105811287, 0.262653613830452]"
"Both mathematical expressions mean the same, and this is a famous observation made by the philosopher Wittgen. Statements like 1 + 1 = 1 are largely ubiquitous by nature, although we have good evidence that human babies and even most animals have little use of such mathematical statements related to basic arithmetic. Obviously, many people have fun with this, but unfortunately for me that is just what it is. ","""All mathematical statements mean the same thing, namely nothing,""ù is a famous quote uttered by the philosopher Wittgenstein. Both the quote alone and the question stem seem very provoking, since mathematics ""ì one of the purest forms of knowledge ""ì is just reduced to a mere game, one without any purpose or sense! If so, then why do we bother with math at all? Strange as it may seem, I agree that math is a game played (by us) according to certain rules (namely, those of deductive reasoning), but I do not agree that Math is meaningless. Meaning is a quality endowed on something by us humans, and in this scenario we ought to consider the meaning of math via the reliability of the knowledge it generates and the utility of these claims in other fields. By both accounts, math is not meaningless. Where did math come from? When did it begin? These are not questions that come to one's mind immediately upon thinking of this essay's question stem, but I believe that they play a crucial role in answering the question. 
Statements like 1+1=2 are undoubtedly mathematical in nature, yet we have good evidence that human babies and even most animals have some comprehension of such mathematical statements related to primitive arithmetic. Do these living beings play this ""game""ù of math too? Seemingly not, for our concept of a game is one of something that is created just for fun. It has been argued that the very act of separating objects into numerical, countable sets leads to benefits for all animals (e.g. identifying how many predators are chasing you). Primitive and contrite as all this might seem ""ì it does give us an inkling of the applicability of math in the real world, and the idea that mathematics might have a deep neurological grounding in our brains. In that sense, at least, it would not seem to be merely a game. Yet I do believe ultimately that mathematics is just a game. Why? For this, one must consider the growth of mathematics and the kinds of knowledge that are generated. Starting with primitive arithmetic, the Greeks stumbled upon irrational numbers and ultimately, in the last few hundred years, mathematicians have come up with the idea of imaginary numbers. What on Earth is an imaginary number? I can count 5 apples, I can even visualise œÄ to be the ratio of a circle's circumference and diameter. All that math seems to have meaning ""ì a kind of truth that corresponds to what we can see in the world. But does ‚àö(-1) apply? Such a concept seems perplexing, at best. Yet, millions of students worldwide accept that the idea of imaginary numbers exists, and that it does make logical sense. According to a correspondent truth, ‚àö(-1) cannot be directly observed, and so it is meaningless in that it does not seem to be able to be true. Yet this betrays a deep assumption, that math needs to directly apply to the real world. As long as we relax the idea that any mathematical object ought to have a real-life counterpart, we can progress with math. The cost though, is this ""ì math develops into a game, one whose ideas are rational and deductively follow from one another.	
Obviously, some philosophers have problems with this, but unfortunately for them, that is just how math is. Multi-dimensional spaces, sets of numbers smaller than every real number ""ì these things are quite literally out of our world. Yet, there is a problem. If mathematics is just a game we play according to deductive logic, then what do we base our deductions on? After al, to deduce anything, you require something to deduce it from. According to modern mathematics, this deduction is done on the basis of certain basic axioms. For example, all of Euclidean geometry can be deduced from 5 postulates. These postulates seem to be self-evident and really, cannot be justified on the basis of anything else. Yet are they true? It is hard to give an explanation of why they ought to be true ""ì and indeed they do not need to be true! Rejecting the parallel postulate is how the wonderful field of spherical and hyperbolic geometry was born. 
","[0.2528395061728395, 0.5148148148148148, 0.23234567901234568]"
